,name,company,Price,kms_driven,fuel_type,Age
396,Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,80000,50000,Petrol,19
397,Tata Indigo LX TDI BS III,Tata,130000,104000,Diesel,7
398,Volkswagen Vento Konekt Diesel Highline,Volkswagen,245000,65000,Diesel,12
399,Mercedes Benz C Class 200 CDI Classic,Mercedes,399000,41000,Petrol,21
400,Maruti Suzuki Ertiga VDi,Maruti,450000,90000,Diesel,10
402,Honda City,Honda,65000,80000,Petrol,23
403,Hyundai Santro Xing GLS,Hyundai,75000,46000,Petrol,17
404,Maruti Suzuki Omni Limited Edition,Maruti,70000,70000,Petrol,22
405,Hyundai Sonata Transform 2.4 GDi MT,Hyundai,190000,36469,Diesel,6
406,Hyundai Elite i20 Sportz 1.2,Hyundai,600000,7800,Petrol,5
407,Volkswagen Vento Konekt Diesel Highline,Volkswagen,245000,65000,Diesel,12
408,Maruti Suzuki Alto 800 Lxi,Maruti,240000,60000,Petrol,6
409,Maruti Suzuki Alto LXi BS III,Maruti,155000,32000,Petrol,12
410,Honda Jazz S MT,Honda,169999,24695,Petrol,14
411,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,450000,15141,Petrol,6
412,Maruti Suzuki Zen LXi BSII,Maruti,40000,40000,Petrol,22
413,Mahindra Scorpio W Turbo 2.6DX 9 Seater,Mahindra,165000,65000,Diesel,11
415,Maruti Suzuki Alto K10 VXi,Maruti,270000,22000,Petrol,9
416,Hyundai Grand i10 Asta 1.2 Kappa VTVT,Hyundai,280000,59910,Diesel,7
417,Mahindra XUV500 W8,Mahindra,560000,100000,Diesel,11
418,Hyundai Creta 1.6 SX Plus Petrol,Hyundai,950000,25000,Petrol,7
419,Hyundai i20 Magna O 1.2,Hyundai,310000,35000,Petrol,10
420,Renault Duster 85 PS RxL Explore LE,Renault,715000,65000,Diesel,8
421,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,340000,35000,Petrol,9
422,Honda Brio V MT,Honda,235000,33000,Petrol,11
423,Mahindra TUV300 T4 Plus,Mahindra,610000,68000,Diesel,6
424,Chevrolet Spark LS 1.0,Chevrolet,95000,23000,Petrol,13
425,Mahindra TUV300 T8,Mahindra,1000000,4500,Diesel,5
426,Maruti Suzuki Swift Dzire Tour LDi,Maruti,220000,129000,Diesel,8
427,Nissan X Trail Select Variant,Nissan,1200000,300,Diesel,4
428,Maruti Suzuki Alto 800 Vxi,Maruti,230000,5000,Petrol,8
429,Ford Ikon 1.3 CLXi NXt Finesse,Ford,45000,65000,Petrol,22
430,Toyota Fortuner 3.0 4x4 MT,Toyota,940000,131000,Diesel,13
431,Tata Manza ELAN Quadrajet,Tata,155555,111111,Petrol,13
434,Mercedes Benz A Class A 180 Sport Petrol,Mercedes,1500000,14000,Petrol,10
435,Chevrolet Beat LS Diesel,Chevrolet,210000,22000,Diesel,7
436,Ford EcoSport Trend 1.5L TDCi,Ford,495000,38000,Diesel,10
437,Tata Indigo LS,Tata,125000,70000,Diesel,7
438,Hyundai i20 Magna 1.2,Hyundai,195000,36000,Petrol,13
439,Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,550000,34000,Diesel,8
440,Renault Kwid RXT,Renault,270000,43000,Petrol,8
442,Ford EcoSport Titanium 1.5L TDCi,Ford,500000,40000,Diesel,9
443,Honda Amaze 1.5 E i DTEC,Honda,240000,160000,Diesel,7
444,Hyundai Verna 1.6 EX VTVT,Hyundai,800000,12000,Petrol,6
445,BMW 5 Series 520d Sedan,BMW,1299000,49000,Diesel,12
446,Skoda Superb 1.8 TFSI AT,Skoda,530000,68000,Petrol,12
447,Audi Q3 2.0 TDI quattro Premium,Audi,1499000,37000,Diesel,10
448,Mahindra Bolero DI BSII,Mahindra,220000,59466,Diesel,11
450,Mahindra Scorpio S10,Mahindra,900000,97200,Diesel,8
451,Ford Figo Duratorq Diesel Titanium 1.4,Ford,250000,99000,Diesel,11
452,Maruti Suzuki Wagon R VXI BS IV,Maruti,395000,25500,Petrol,5
453,Mahindra Logan Diesel 1.5 DLS,Mahindra,130000,66000,Petrol,14
454,Tata Nano GenX XMA,Tata,32000,44005,Petrol,13
455,Mahindra TUV300 T4 Plus,Mahindra,540000,35000,Diesel,7
456,Mahindra TUV300 T4 Plus,Mahindra,540000,35000,Diesel,7
457,Hyundai Elite i20 Magna 1.2,Hyundai,405000,28000,Petrol,8
458,Hyundai Elite i20 Magna 1.2,Hyundai,400000,30000,Petrol,8
459,Honda City SV,Honda,760000,4000,Petrol,6
460,Maruti Suzuki Baleno Delta 1.2,Maruti,500000,28000,Petrol,7
461,Ford Figo Petrol LXI,Ford,175000,75000,Petrol,12
462,Mahindra Scorpio S10,Mahindra,900000,97200,Diesel,8
463,Honda City,Honda,750000,3000,Petrol,6
464,Hyundai Elite i20 Magna 1.2,Hyundai,419000,20000,Petrol,8
465,Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,90000,50000,Petrol,19
466,Hyundai Eon Era Plus,Hyundai,140000,2110,Petrol,5
467,Mitsubishi Pajero Sport Limited Edition,Mitsubishi,1540000,43222,Petrol,8
468,Hyundai i10 Magna 1.2 Kappa2,Hyundai,275000,100200,Petrol,15
469,Toyota Corolla H2,Toyota,150000,100000,Petrol,20
470,Maruti Suzuki Swift Dzire Tour VXi,Maruti,230000,65,Petrol,12
471,Tata Indigo CS eLS BS IV,Tata,123000,100000,Diesel,8
472,Mahindra Scorpio S10,Mahindra,900000,97200,Diesel,8
473,Mahindra Scorpio S10,Mahindra,900000,97200,Diesel,8
474,Hyundai Xcent Base 1.1 CRDi,Hyundai,300000,140000,Diesel,7
475,Honda City,Honda,499999,55000,Petrol,8
476,Hyundai Accent Executive Edition,Hyundai,165000,48000,Petrol,14
477,Maruti Suzuki Baleno Delta 1.2,Maruti,498000,22000,Petrol,7
478,Tata Zest XE 75 PS Diesel,Tata,480000,103553,Diesel,5
479,Maruti Suzuki Dzire LDI,Maruti,488000,80000,Diesel,6
480,Tata Sumo Gold LX BS IV,Tata,250000,99000,Diesel,9
481,Toyota Corolla Altis GL Petrol,Toyota,220000,58000,Petrol,13
482,Maruti Suzuki Eeco 7 STR,Maruti,290000,70000,LPG,10
483,Toyota Fortuner 3.0 4x2 MT,Toyota,1525000,120000,Diesel,8
484,Mahindra XUV500 W6,Mahindra,548900,49800,Diesel,10
485,Tata Tigor Revotron XZ,Tata,650000,100,Diesel,4
486,Maruti Suzuki 800,Maruti,55000,81876,Petrol,22
487,Maruti Suzuki Ertiga Vxi,Maruti,550000,75000,Petrol,8
488,Maruti Suzuki Versa DX2 8 SEATER BSIII,Maruti,90000,50000,Petrol,19
489,Honda Mobilio S i DTEC,Honda,399000,44000,Diesel,9
490,Maruti Suzuki Ertiga,Maruti,730000,55000,Diesel,7
491,Maruti Suzuki Vitara Brezza,Maruti,725000,36000,Diesel,6
492,Hyundai Verna 1.6 CRDI E,Hyundai,195000,56000,Diesel,7
493,Maruti Suzuki Swift VXI BSIII,Maruti,130000,62000,Petrol,16
494,Toyota Fortuner 3.0 4x2 MT,Toyota,1525000,120000,Diesel,8
495,Maruti Suzuki Omni Select Variant,Maruti,190000,6020,Petrol,9
496,Honda Amaze,Honda,250000,55700,Diesel,10
497,Tata Indica,Tata,80000,42000,Petrol,18
498,Hyundai Santro Xing,Hyundai,120000,50000,Petrol,20
499,Maruti Suzuki Zen Estilo,Maruti,149000,35000,Petrol,13
500,Maruti Suzuki Wagon R LXI BS IV,Maruti,250000,18500,Petrol,9
501,Maruti Suzuki Wagon R,Maruti,120000,7000,Petrol,16
502,Honda Brio VX AT,Honda,450000,11000,Petrol,6
504,Maruti Suzuki Zen LXi BSII,Maruti,99999,53000,Petrol,20
505,Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,135000,23000,Petrol,15
506,Maruti Suzuki Wagon R Select Variant,Maruti,225000,35500,Diesel,7
507,Maruti Suzuki Alto LXi BS III,Maruti,99000,22134,Petrol,13
508,Renault Kwid RXT,Renault,370000,1000,Petrol,4
509,Tata Nano Lx BSIV,Tata,52000,9000,Petrol,13
510,Jaguar XE XE Portfolio,Jaguar,2800000,8500,Petrol,7
512,Hyundai Eon Magna Plus,Hyundai,190000,35000,Petrol,9
513,Honda City 1.5 S MT,Honda,499000,22000,Petrol,9
514,Hindustan Motors Ambassador,Hindustan,90000,25000,Diesel,21
515,Maruti Suzuki Ritz GENUS VXI,Maruti,149000,40000,Petrol,13
516,Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,Hyundai,400000,20000,Petrol,6
517,Hyundai Eon D Lite Plus,Hyundai,120000,87000,Petrol,7
518,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,250000,55000,Petrol,8
519,Maruti Suzuki Wagon R VXI BS IV,Maruti,375000,23000,Petrol,6
520,Honda Amaze 1.2 VX i VTEC,Honda,381000,6000,Petrol,9
521,Maruti Suzuki Estilo VXi ABS BS IV,Maruti,180000,65000,Petrol,10
522,Maruti Suzuki Vitara Brezza LDi O,Maruti,580000,25000,Diesel,7
523,Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,278000,39000,Petrol,8
525,Hyundai Creta 1.6 SX Plus Petrol AT,Hyundai,1000000,8000,Petrol,7
526,Mahindra Scorpio Vlx BSIV,Mahindra,690000,75000,Diesel,10
527,Maruti Suzuki Ertiga VDi,Maruti,480000,51000,Diesel,11
528,Mitsubishi Lancer 1.8 LXi,Mitsubishi,85000,50000,Petrol,17
529,Maruti Suzuki Maruti 800 AC,Maruti,40000,75000,Petrol,22
530,Maruti Suzuki Alto 800 LXI CNG O,Maruti,90000,55800,Petrol,8
531,Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,340000,53000,Petrol,8
532,Hyundai Eon D Lite Plus,Hyundai,260000,25000,Petrol,5
533,Ford Fiesta SXi 1.6 ABS,Ford,250000,56400,Petrol,14
534,Maruti Suzuki Ritz VDi,Maruti,180000,72160,Diesel,13
535,Hyundai Verna Fluidic New,Hyundai,350000,10000,Diesel,11
536,Maruti Suzuki Wagon R LXi BS III,Maruti,90001,48000,Petrol,17
537,Maruti Suzuki Estilo LX BS IV,Maruti,115000,36000,Petrol,16
538,Audi A6 2.0 TDI Premium,Audi,1599000,11500,Diesel,11
539,Maruti Suzuki Wagon R LXi BS III,Maruti,130000,133000,Petrol,20
540,Maruti Suzuki Wagon R,Maruti,159000,27000,Petrol,14
541,Maruti Suzuki Wagon R,Maruti,160000,35000,Petrol,14
542,Maruti Suzuki Alto,Maruti,110000,55000,Petrol,13
543,Maruti Suzuki Baleno Sigma 1.2,Maruti,425000,40000,Petrol,7
544,Hyundai Verna 1.6 SX VTVT AT,Hyundai,900000,2000,Petrol,4
545,Maruti Suzuki Swift GLAM,Maruti,150000,45000,Petrol,14
546,Hyundai Getz Prime 1.3 GVS,Hyundai,110000,20000,Petrol,14
547,Hyundai Santro,Hyundai,51999,88000,Petrol,23
548,Hyundai Getz Prime 1.3 GLX,Hyundai,115000,20000,Petrol,14
549,Chevrolet Beat PS Diesel,Chevrolet,215000,65422,Diesel,11
550,Ford EcoSport Trend 1.5 Ti VCT,Ford,580000,10000,Petrol,6
551,Maruti Suzuki Dzire ZXI,Maruti,380000,35000,Petrol,10
552,Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,350000,117000,Diesel,10
553,Tata Indica V2 DLG,Tata,35000,150000,Diesel,18
554,BMW X1 xDrive20d xLine,BMW,1150000,72000,Diesel,12
555,Hyundai i20 Asta 1.2,Hyundai,300000,10750,Petrol,13
556,Honda City 1.5 V AT,Honda,269000,55000,Petrol,14
557,Tata Nano,Tata,60000,6800,Petrol,10
558,Chevrolet Cruze LTZ AT,Chevrolet,400000,41000,Diesel,9
559,Hyundai Verna Fluidic New,Hyundai,430000,73000,Diesel,8
561,Maruti Suzuki Swift Dzire VDi,Maruti,140000,65000,Diesel,12
562,Mahindra XUV500 W6,Mahindra,8500003,45000,Diesel,9
563,Mahindra XUV500 W10,Mahindra,1299000,40000,Diesel,5
564,Maruti Suzuki Alto K10 LXi CNG,Maruti,199000,37000,Petrol,9
565,Hyundai Accent GLE,Hyundai,90000,55000,Petrol,17
566,Force Motors One SUV,Force,550000,140000,Diesel,10
568,Maruti Suzuki Alto,Maruti,265000,9800,Petrol,4
569,Chevrolet Spark 1.0 LT,Chevrolet,100000,27000,Petrol,12
570,Hyundai i10,Hyundai,215000,27000,Petrol,14
571,Toyota Etios Liva GD,Toyota,380000,20000,Diesel,11
572,Renault Duster 85PS Diesel RxL Optional with Nav,Renault,401919,57923,Diesel,10
573,Chevrolet Enjoy,Chevrolet,490000,30201,Diesel,9
574,Maruti Suzuki Alto 800 Lxi,Maruti,280000,6200,Petrol,6
575,BMW 5 Series 530i,BMW,650000,37518,Petrol,14
576,Toyota Etios Liva G,Toyota,160000,24652,Petrol,9
577,Mahindra Jeep MM 550 XDB,Mahindra,424000,383,Diesel,19
578,Chevrolet Beat LS Diesel,Chevrolet,225000,95000,Diesel,7
579,Chevrolet Cruze LTZ,Chevrolet,350000,35000,Diesel,12
580,Jeep Wrangler Unlimited 4x4 Diesel,Jeep,950000,3528,Diesel,8
581,Maruti Suzuki Ertiga VDi,Maruti,485000,52500,Diesel,10
582,Hyundai Verna VGT CRDi SX ABS,Hyundai,205000,47900,Diesel,13
583,Maruti Suzuki Omni,Maruti,160000,14000,Petrol,11
584,Maruti Suzuki Celerio VDi,Maruti,310000,37000,Petrol,5
585,Tata Zest Quadrajet 1.3,Tata,180000,90000,Diesel,6
586,Mahindra XUV500 W6,Mahindra,549900,52800,Diesel,10
587,Tata Indigo CS eLX BS IV,Tata,150000,104000,Diesel,7
588,Hyundai i10 Era,Hyundai,175000,30000,Petrol,12
589,Tata Indigo eCS LX TDI BS III,Tata,95000,195000,Diesel,9
590,Tata Indigo LX TDI BS III,Tata,230000,104000,Diesel,7
591,Tata Indigo eCS LX CR4 BS IV,Tata,230000,104000,Diesel,7
592,Tata Indigo Marina LS,Tata,180000,70000,Diesel,19
594,Hyundai Xcent SX 1.2,Hyundai,400000,43000,Diesel,8
595,Hyundai Eon Magna Plus,Hyundai,185000,23000,Petrol,10
596,Renault Duster 85 PS RxL Diesel,Renault,385000,51000,Diesel,8
597,Maruti Suzuki Alto K10 LXi CNG,Maruti,90000,62000,Petrol,14
598,Tata Nano LX Special Edition,Tata,32000,48008,Petrol,13
600,Renault Duster 110 PS RxZ Diesel,Renault,435000,39000,Diesel,10
601,Maruti Suzuki Wagon R AX BSIV,Maruti,225000,40000,Petrol,13
602,Maruti Suzuki Swift,Maruti,189700,48247,Petrol,17
603,Maruti Suzuki Ertiga,Maruti,389700,39000,Diesel,11
604,Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,365000,23000,Petrol,9
605,Maruti Suzuki Alto K10 New,Maruti,360000,9400,Petrol,6
606,Hyundai i20 Magna,Hyundai,210000,50000,Petrol,13
607,Hyundai i10 Magna 1.2,Hyundai,170000,75000,Petrol,14
609,Tata Zest XE 75 PS Diesel,Tata,380000,70000,Diesel,6
610,Mahindra Xylo E8,Mahindra,295000,64000,Diesel,14
611,Toyota Corolla Altis GL Petrol,Toyota,185000,55000,Petrol,13
612,Tata Manza Aqua Quadrajet,Tata,160000,200000,Diesel,9
615,Renault Kwid 1.0,Renault,290000,2137,Petrol,5
617,Tata Venture EX 8 STR,Tata,100000,30000,Diesel,10
618,Maruti Suzuki Swift Dzire Tour LXi,Maruti,315000,44000,Petrol,9
620,Skoda Octavia Classic 1.9 TDI MT,Skoda,114990,65000,Diesel,17
621,Maruti Suzuki Omni LPG BS IV,Maruti,120000,160000,LPG,11
622,Chevrolet Beat Diesel,Chevrolet,125000,56000,Diesel,12
623,Tata Sumo Gold EX BS IV,Tata,210000,75000,Diesel,11
625,Hyundai Verna 1.6 CRDI SX,Hyundai,855000,42000,Diesel,5
626,Tata Sumo Gold EX BS IV,Tata,210000,75000,Diesel,11
627,Mahindra Scorpio 2.6 CRDe,Mahindra,260000,56000,Diesel,16
628,Maruti Suzuki Zen LXi BS III,Maruti,95000,10544,Petrol,21
629,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,255000,64000,Petrol,12
630,Mahindra Scorpio SLX 2.6 Turbo 8 Str,Mahindra,300000,70000,Diesel,15
631,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,Hyundai,340000,25000,Petrol,9
632,Hyundai Elite i20 Sportz 1.2,Hyundai,550000,15000,Petrol,6
633,Ford Ikon 1.6 Nxt,Ford,60000,50000,Petrol,20
636,Toyota Innova 2.5 V 7 STR,Toyota,750000,147000,Diesel,12
637,Nissan Sunny XL,Nissan,230000,52000,Petrol,12
638,Chevrolet Beat LT Diesel,Chevrolet,130000,90001,Diesel,11
639,Maruti Suzuki Alto 800 Lxi,Maruti,270000,21000,Petrol,6
640,Maruti Suzuki Swift VDi BS IV,Maruti,280000,48006,Diesel,11
641,Maruti Suzuki Swift VDi BS IV,Maruti,280000,48006,Diesel,11
642,Maruti Suzuki Swift,Maruti,280000,48006,Diesel,11
644,Toyota Innova 2.0 G4,Toyota,600000,80000,Diesel,11
646,Maruti Suzuki Swift VDi ABS,Maruti,190000,74000,Diesel,13
647,Hyundai Elite i20 Asta 1.2,Hyundai,500000,22000,Petrol,8
648,Mahindra XUV500 W10,Mahindra,1065000,41000,Diesel,7
649,Volkswagen Polo Trendline 1.5L D,Volkswagen,350000,25000,Diesel,8
650,Toyota Etios Liva Diesel,Toyota,350000,85000,Diesel,11
651,Mahindra TUV300 T4 Plus,Mahindra,540000,29500,Diesel,7
652,Hyundai Elite i20 Asta 1.2,Hyundai,470000,30000,Petrol,8
653,Hyundai Santro Xing GLS,Hyundai,179000,57000,Petrol,9
654,Maruti Suzuki Zen LXi BS III,Maruti,48000,60000,Petrol,20
655,Maruti Suzuki Ciaz ZXi Plus RS,Maruti,650000,50000,Petrol,7
656,Hyundai Eon Era Plus,Hyundai,190000,39700,Petrol,10
657,Hyundai Elantra 1.8 S,Hyundai,500000,65000,Petrol,11
658,Maruti Suzuki Swift VDi,Maruti,270000,67000,Diesel,13
659,Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,125000,46000,Petrol,15
660,Hyundai Eon Era Plus,Hyundai,188000,38000,Petrol,11
661,Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,380000,27000,Petrol,7
662,Hyundai Verna Fluidic New,Hyundai,365000,43000,Diesel,12
663,Ford EcoSport Trend 1.5L Ti VCT,Ford,465000,47000,Petrol,9
664,Hyundai i20 Magna,Hyundai,240000,42000,Petrol,12
665,Chevrolet Beat Diesel,Chevrolet,179999,19336,Diesel,7
666,Tata Indica eV2 LS,Tata,140000,60105,Diesel,8
667,Jaguar XF 2.2 Diesel Luxury,Jaguar,2190000,29000,Diesel,10
668,Audi Q5 2.0 TDI quattro Premium Plus,Audi,2390000,34000,Diesel,9
669,BMW 3 Series 320d Sedan,BMW,1075000,35000,Diesel,12
670,Maruti Suzuki Swift ZXi 1.2 BS IV,Maruti,475000,22000,Petrol,8
671,BMW X1 sDrive20d,BMW,1025000,41000,Diesel,11
672,Maruti Suzuki S Cross Sigma 1.3,Maruti,615000,21000,Diesel,7
673,Maruti Suzuki Ertiga LDi,Maruti,475000,48000,Diesel,10
674,Maruti Suzuki Alto K10 VXi AMT,Maruti,270000,38000,Petrol,7
675,Honda City SV,Honda,475000,34000,Diesel,9
676,Volkswagen Vento Comfortline Petrol,Volkswagen,240000,45933,Petrol,12
677,Honda City 1.5 EXi New,Honda,120000,68000,Petrol,18
678,Audi A4 2.0 TDI 177bhp Premium,Audi,1900000,44000,Diesel,7
679,Mahindra KUV100,Mahindra,360000,35000,Diesel,6
680,Tata Zest XE 75 PS Diesel,Tata,450000,102563,Diesel,5
681,Mahindra XUV500 W8,Mahindra,900000,28600,Diesel,8
682,Maruti Suzuki Swift Dzire Tour VDi,Maruti,650000,41800,Diesel,6
683,Tata Sumo Gold LX BS IV,Tata,275000,116000,Diesel,9
684,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,210000,59000,Petrol,14
685,Mahindra Scorpio 2.6 SLX,Mahindra,175000,58000,Diesel,19
686,Maruti Suzuki Omni 8 STR BS III,Maruti,85000,45000,Petrol,14
687,Mitsubishi Pajero Sport Limited Edition,Mitsubishi,1490000,42590,Diesel,8
688,Renault Duster,Renault,800000,7400,Diesel,9
689,Volkswagen Jetta Comfortline 1.9 TDI AT,Volkswagen,450000,54500,Diesel,14
690,Maruti Suzuki Ertiga Vxi,Maruti,1000000,200000,Diesel,11
691,Audi A4 2.0 TDI 177bhp Premium,Audi,1510000,27000,Diesel,10
692,Volvo S80 Summum D4,Volvo,1850000,42000,Diesel,8
693,Toyota Corolla Altis VL AT Petrol,Toyota,790000,29000,Petrol,9
694,Mitsubishi Pajero Sport 2.5 AT,Mitsubishi,1725000,37000,Diesel,8
695,Chevrolet Beat LT Petrol,Chevrolet,135000,36000,Petrol,11
696,BMW X1,BMW,1000000,34000,Diesel,12
697,Datsun Redi GO S,Datsun,299999,7000,Petrol,5
698,Mercedes Benz C Class C 220 CDI Avantgarde,Mercedes,1225000,76000,Diesel,14
699,Mahindra Scorpio SLX,Mahindra,175000,60000,Diesel,19
700,Volkswagen Vento Comfortline Diesel,Volkswagen,200000,95000,Diesel,12
701,Tata Indigo CS GLS,Tata,270000,50000,Diesel,6
702,Ford Figo Petrol Titanium,Ford,525000,0,Petrol,4
703,Honda City ZX GXi,Honda,180000,50000,Petrol,17
704,Maruti Suzuki Wagon R Duo Lxi,Maruti,140000,68000,Petrol,15
705,Ford EcoSport Trend 1.5L TDCi,Ford,400000,16000,Petrol,9
706,Maruti Suzuki Swift Dzire VDi,Maruti,499000,51000,Diesel,7
707,Maruti Suzuki Omni 8 STR BS III,Maruti,85000,56000,Petrol,14
708,Maruti Suzuki Zen LX BSII,Maruti,70000,100000,Petrol,19
709,Renault Duster RxL Petrol,Renault,550000,36000,Petrol,8
710,Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,370000,11523,Petrol,9
711,Maruti Suzuki Baleno Zeta 1.2,Maruti,690000,1000,Petrol,5
712,Honda WR V S MT Petrol,Honda,250000,60000,Petrol,14
713,Tata Indigo CS eLX BS IV,Tata,110000,85000,Diesel,7
714,Renault Duster 110 PS RxL Diesel,Renault,490000,38600,Diesel,10
715,Mahindra Scorpio LX BS III,Mahindra,320000,95500,Diesel,14
716,Maruti Suzuki Zen LXi BS III,Maruti,68000,56000,Petrol,19
717,Maruti Suzuki Wagon R LXi BS III,Maruti,130000,37458,Petrol,9
718,Maruti Suzuki SX4 Celebration Diesel,Maruti,970000,85960,Diesel,7
719,Audi A3 Cabriolet 40 TFSI,Audi,3100000,12516,Petrol,8
720,Hyundai Eon D Lite Plus,Hyundai,280000,35000,Petrol,5
721,Maruti Suzuki Zen Estilo LXI Green CNG,Maruti,125000,0,Petrol,14
722,Mahindra Scorpio SLX,Mahindra,285000,80000,Diesel,15
724,Hyundai Santro AE GLS Audio,Hyundai,165000,45000,Petrol,12
726,Maruti Suzuki Swift Dzire Tour VDi,Maruti,250000,51000,Diesel,14
727,Mahindra Scorpio S4,Mahindra,865000,30000,Diesel,8
729,Mahindra Xylo D2 BS IV,Mahindra,390000,48000,Diesel,12
730,Hyundai Santro,Hyundai,60000,51000,Petrol,20
731,Chevrolet Beat LT Diesel,Chevrolet,215000,90000,Diesel,8
732,Maruti Suzuki Swift Dzire VDi,Maruti,475000,43000,Diesel,8
733,Mahindra XUV500 W8,Mahindra,899000,53000,Diesel,8
734,Toyota Fortuner 3.0 4x4 MT,Toyota,1499000,97000,Diesel,10
735,Maruti Suzuki Alto K10 VXi,Maruti,240000,20000,Petrol,10
736,Hyundai Getz GLE,Hyundai,99000,55000,Petrol,16
737,Maruti Suzuki Swift Dzire Tour LDi,Maruti,260000,120000,Diesel,9
738,Hyundai Creta 1.6 SX,Hyundai,1200000,0,Petrol,4
739,Hyundai Santro Xing XL AT eRLX Euro III,Hyundai,115000,46000,Petrol,16
740,Hyundai Santro Xing XL eRLX Euro III,Hyundai,88000,43200,Petrol,14
741,Mahindra Xylo D2 BS IV,Mahindra,390000,56000,Diesel,12
742,Hyundai Santro Xing XL eRLX Euro III,Hyundai,135000,42000,Petrol,16
743,Tata Indica V2 DLS BS III,Tata,90000,30600,Diesel,14
744,Hyundai i10 Sportz 1.2,Hyundai,220000,38000,Petrol,12
745,Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,424999,2550,Petrol,6
746,Hyundai Santro Xing XL AT eRLX Euro III,Hyundai,135000,47000,Petrol,16
747,Honda City 1.5 E MT,Honda,95000,41000,Petrol,18
748,Nissan Micra XL,Nissan,430000,62500,Diesel,6
749,Honda City 1.5 S Inspire,Honda,115000,68000,Petrol,18
750,Maruti Suzuki Alto 800 Lxi,Maruti,215000,50000,Petrol,8
751,Maruti Suzuki Wagon R LX BS III,Maruti,53000,69000,Petrol,19
752,Maruti Suzuki Ertiga VDi,Maruti,500000,48000,Diesel,11
753,Tata Indica eV2 eXeta eGLX,Tata,85000,55000,Diesel,11
754,Maruti Suzuki Omni E 8 STR BS IV,Maruti,165000,25000,Petrol,10
755,Hyundai Eon Era Plus,Hyundai,200000,28400,Petrol,9
756,Hyundai Eon,Hyundai,200000,28000,Petrol,9
757,Maruti Suzuki Swift LDi,Maruti,425000,42000,Diesel,8
759,Hyundai Verna 1.6 CRDI SX Plus AT,Hyundai,600000,29000,Diesel,11
760,Chevrolet Tavera LS B3 10 Seats BSII,Chevrolet,130000,68485,Diesel,18
761,Tata Tiago Revotron XM,Tata,430000,3500,Petrol,5
762,Tata Tiago Revotorq XZ,Tata,568500,0,Petrol,4
765,Maruti Suzuki Zen LXi BS III,Maruti,71000,32000,Petrol,17
766,Mahindra KUV100 K8 D 6 STR,Mahindra,560000,8000,Diesel,5
767,Ford EcoSport Titanium 1.5 TDCi,Ford,590000,34000,Diesel,9
768,Hindustan Motors Ambassador Classic Mark 4 – Befo,Hindustan,750000,37000,Petrol,28
769,Ford Fusion 1.4 TDCi Diesel,Ford,125000,85455,Diesel,16
770,Hyundai Santro Xing XL AT eRLX Euro III,Hyundai,135000,46000,Petrol,16
771,Hyundai Santro,Hyundai,60000,47000,Petrol,21
772,Fiat Linea Emotion 1.4 L T Jet Petrol,Fiat,120000,64000,Petrol,14
773,Ford Ikon 1.3 Flair Josh 100,Ford,95000,46000,Petrol,15
774,Maruti Suzuki Omni E 8 STR BS IV,Maruti,240000,8000,Petrol,6
775,Tata Indica V2 LS,Tata,115000,64000,Diesel,11
776,Mahindra Scorpio S4,Mahindra,795000,63000,Diesel,8
777,Hyundai Santro Xing XL eRLX Euro III,Hyundai,55000,65000,Petrol,16
778,Mahindra Xylo D2,Mahindra,300000,62000,Diesel,14
779,Hyundai Grand i10 Asta 1.2 Kappa VTVT,Hyundai,320000,41000,Petrol,9
780,Maruti Suzuki Alto 800 Lxi,Maruti,265000,14000,Petrol,8
781,Toyota Corolla,Toyota,160000,40000,Petrol,17
782,Hyundai Eon Magna,Hyundai,300000,1600,Petrol,6
783,Tata Sumo Grande MKII GX,Tata,130000,90000,Diesel,13
784,Maruti Suzuki Swift VDi,Maruti,250000,58000,Diesel,12
785,Volkswagen Polo Highline1.2L P,Volkswagen,380000,27000,Petrol,10
786,Maruti Suzuki Alto 800 Lx,Maruti,42000,60000,Petrol,20
787,Tata Tiago Revotron XZ,Tata,400000,31000,Petrol,6
788,Maruti Suzuki Swift LDi,Maruti,120000,90000,Diesel,14
789,Maruti Suzuki Swift VDi,Maruti,120000,90000,Diesel,14
790,Tata Indigo eCS,Tata,130000,150000,Diesel,7
